State,Unemployment_Rate,Total_Rate_of_Violent_Crimes
Alabama,6.783,427.4
Alaska,6.875,635.8
Arizona,6.783,399.9
Arkansas,6.025,480.1
California,7.5,396.1
Colorado,4.992,309.1
Connecticut,6.617,236.9
Delaware,5.717,489.1
District of Columbia,7.775,1244.4
Florida,6.283,540.5
Georgia,7.092,377.3
Hawaii,4.35,259.2
Idaho,4.842,212.2
Illinois,7.092,370
Indiana,5.967,365.3
Iowa,4.242,273.5
Kansas,4.525,348.6
Kentucky,6.458,211.6
Louisiana,6.367,514.7
Maine,5.625,127.8
Maryland,5.8,446.1
Massachusetts,5.75,391.4
Michigan,7.25,427.3
Minnesota,4.158,229.1
Mississippi,7.5,278.5
Missouri,6.133,442.9
Montana,4.675,323.7
Nebraska,3.275,280.4
Nevada,7.925,635.6
New Hampshire,4.275,196.1
New Jersey,6.767,261.2
New Mexico,6.658,597.4
New York,6.325,381.8
North Carolina,6.308,329.5
North Dakota,2.675,265.1
Ohio,5.808,284.9
Oklahoma,4.492,406
Oregon,6.792,232.3
Pennsylvania,5.85,314.1
Rhode Island,7.692,219.2
South Carolina,6.45,497.7
South Dakota,3.433,326.5
Tennessee,6.583,608.4
Texas,5.1,405.9
Utah,3.817,215.6
Vermont,3.925,99.3
Virginia,5.233,196.2
Washington,6.125,285.2
West Virginia,6.642,302
Wisconsin,5.392,290.3
Wyoming,4.158,195.5
